TRACTCE,GEOID,NAME,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0004E,DP04_0005E,DP04_0006E,DP04_0007E,DP04_0008E,DP04_0009E,DP04_0010E,DP04_0011E,DP04_0012E,DP04_0013E,DP04_0014E,DP04_0015E,DP04_0016E,DP04_0017E,DP04_0018E,DP04_0019E,DP04_0020E,DP04_0021E,DP04_0022E,DP04_0023E,DP04_0024E,DP04_0025E,DP04_0026E,DP04_0027E,DP04_0028E,DP04_0029E,DP04_0030E,DP04_0031E,DP04_0032E,DP04_0033E,DP04_0034E,DP04_0035E,DP04_0036E,DP04_0037E,DP04_0038E,DP04_0039E,DP04_0040E,DP04_0041E,DP04_0042E,DP04_0043E,DP04_0044E,DP04_0045E,DP04_0046E,DP04_0047E,DP04_0048E,DP04_0049E,DP04_0050E,DP04_0051E,DP04_0052E,DP04_0053E,DP04_0054E,DP04_0055E,DP04_0056E,DP04_0057E,DP04_0058E,DP04_0059E,DP04_0060E,DP04_0061E,DP04_0062E,DP04_0063E,DP04_0064E,DP04_0065E,DP04_0066E,DP04_0067E,DP04_0068E,DP04_0069E,DP04_0070E,DP04_0071E,DP04_0072E,DP04_0073E,DP04_0074E,DP04_0075E,DP04_0076E,DP04_0077E,DP04_0078E,DP04_0079E,DP04_0080E,DP04_0081E,DP04_0082E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0087E,DP04_0088E,DP04_0089E,DP04_0090E,DP04_0091E,DP04_0092E,DP04_0093E,DP04_0094E,DP04_0095E,DP04_0096E,DP04_0097E,DP04_0098E,DP04_0099E,DP04_0100E,DP04_0101E,DP04_0102E,DP04_0103E,DP04_0104E,DP04_0105E,DP04_0106E,DP04_0107E,DP04_0108E,DP04_0109E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0115E,DP04_0116E,DP04_0117E,DP04_0118E,DP04_0119E,DP04_0120E,DP04_0121E,DP04_0122E,DP04_0123E,DP04_0124E,DP04_0125E,DP04_0126E,DP04_0127E,DP04_0128E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0134E,DP04_0135E,DP04_0136E,DP04_0137E,DP04_0138E,DP04_0139E,DP04_0140E,DP04_0141E,DP04_0142E,DP04_0143E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,STATEFP,COUNTYFP,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,SHAPEAREA,SHAPELEN
005302,11001005302,53.02,1750,1606,144,8,0,1750,0,102,81,108,99,143,1171,46,0,1750,0,0,34,69,182,118,178,135,19,1015,1750,196,182,615,383,133,62,88,16,75,3.3,1750,260,693,622,84,28,63,1606,531,1075,1.73,1.51,1606,408,555,359,129,121,34,1606,860,603,143,0,1606,477,19,1038,0,0,0,0,0,72,1606,0,47,12,1606,1519,18,69,531,0,0,0,0,26,245,179,81,497300,531,400,131,400,0,0,0,74,102,47,177,2755,131,19,0,11,37,21,43,790,400,231,29,35,56,49,0,131,82,0,0,15,22,0,12,0,1059,0,0,178,109,235,106,431,2535,16,1049,125,256,201,143,71,253,26,ACS_Housing_DC_CensusTract_1,,{B61394E4-D4DD-4020-AD10-AFDF7C8996C5},1,11,001,1400000US11001005302,Census Tract 53.02,G5020,S,117635,0,+38.9124517,-077.0386443,0,0
004402,11001004402,44.02,1403,1234,169,3.8,16.1,1403,65,422,250,139,30,44,453,0,0,1403,0,352,97,0,100,0,92,29,0,733,1403,142,66,298,190,281,182,130,76,38,4.5,1403,142,261,507,346,147,0,1234,539,695,2.29,1.81,1234,137,428,357,187,51,74,1234,433,607,194,0,1234,520,4,677,9,0,0,0,0,24,1234,0,0,0,1234,1198,0,36,539,34,0,43,0,0,0,183,279,1022400,539,423,116,423,11,23,39,0,76,33,241,3561,116,6,0,20,22,4,64,,423,247,66,30,0,80,0,110,68,10,13,0,0,0,19,6,695,0,0,0,128,140,60,367,3152,0,695,114,54,175,134,81,137,0,ACS_Housing_DC_CensusTract_2,,{F3C85541-803E-4EEF-BF0F-954F1C8E9E26},2,11,001,1400000US11001004402,Census Tract 44.02,G5020,S,274746,0,+38.9155152,-077.0270354,0,0
010602,11001010602,106.02,3816,3470,346,0,4.5,3816,110,1115,196,75,30,9,2281,0,0,3816,324,1497,401,51,38,13,38,79,100,1275,3816,309,528,1060,625,151,653,184,155,151,3.5,3816,366,1332,968,797,340,13,3470,1043,2427,2.68,1.78,3470,1113,1199,772,215,64,107,3470,1037,1931,405,97,3470,1086,12,2366,0,0,0,6,0,0,3470,0,0,0,3470,3470,0,0,1043,19,0,0,0,15,97,399,513,992100,1043,975,68,975,19,0,0,58,79,156,663,3457,68,0,0,68,0,0,0,,975,544,112,132,3,184,0,68,68,0,0,0,0,0,0,0,2427,0,0,25,331,383,706,982,2836,0,2402,406,330,382,398,257,629,25,ACS_Housing_DC_CensusTract_3,,{996B9C80-8A71-451A-AC85-887A4CCD3DBE},3,11,001,1400000US11001010602,Census Tract 106.02,G5020,S,542512,0,+38.9033936,-076.9994636,0,0
000804,11001000804,8.04,1374,1229,145,0,0,1374,978,56,0,13,0,17,310,0,0,1374,0,44,7,45,180,49,26,342,196,485,1374,0,30,139,146,33,66,87,156,717,10,1374,0,196,162,277,322,417,1229,992,237,2.78,1.56,1229,108,294,379,206,179,63,1229,58,505,439,227,1229,971,0,215,0,0,0,0,43,0,1229,0,12,0,1229,1229,0,0,992,0,0,13,43,43,44,66,783,1891400,992,742,250,742,0,0,0,91,8,35,608,4001,250,0,0,13,33,33,171,1457,742,530,94,3,16,99,0,237,183,0,14,21,0,0,19,13,186,0,0,0,102,45,6,33,1956,51,186,7,32,26,90,0,31,51,ACS_Housing_DC_CensusTract_4,,{97FBB9BD-3E7B-406F-BC4C-6C14E891AF32},4,11,001,1400000US11001000804,Census Tract 8.04,G5020,S,2566768,167978,+38.9221746,-077.0918347,0,0
003902,11001003902,39.02,1305,1016,289,0,16.3,1305,8,153,59,64,97,242,682,0,0,1305,0,47,14,0,19,44,49,144,189,799,1305,243,116,388,236,84,126,14,23,75,3.3,1305,265,597,208,152,17,66,1016,538,478,1.98,1.49,1016,192,216,188,258,110,52,1016,354,528,86,48,1016,588,9,397,14,0,0,0,8,0,1016,53,53,0,1016,1016,0,0,538,0,0,0,43,23,171,140,161,578400,538,427,111,427,10,31,21,105,37,9,214,3005,111,47,17,0,0,12,35,,427,238,57,15,26,91,0,111,101,0,0,10,0,0,0,0,478,0,62,29,76,171,44,96,2211,0,478,40,46,69,39,152,132,0,ACS_Housing_DC_CensusTract_5,,{3EC5B1B4-91D5-4537-83C6-D8EA5D7B288B},5,11,001,1400000US11001003902,Census Tract 39.02,G5020,S,266513,11205,+38.9257717,-077.0452397,0,0
000903,11001000903,9.03,396,382,14,0,0,396,325,32,0,39,0,0,0,0,0,396,0,0,10,32,23,25,26,54,126,100,396,0,0,14,7,10,21,31,39,274,10,396,0,0,35,137,77,147,382,336,46,2.81,3.5,382,50,66,82,62,78,44,382,0,131,185,66,382,325,21,29,7,0,0,0,0,0,382,5,5,0,382,382,0,0,336,0,0,0,0,0,0,24,312,1980400,336,219,117,219,0,0,0,7,17,12,183,4001,117,0,9,0,7,0,101,1501,219,99,29,0,14,77,0,117,65,25,7,0,0,0,20,0,33,0,0,14,10,0,0,9,1625,13,33,0,0,14,0,0,19,13,ACS_Housing_DC_CensusTract_6,,{3382DC55-FECB-42CF-B823-CDE10A527545},6,11,001,1400000US11001000903,Census Tract 9.03,G5020,S,928101,0,+38.9376821,-077.0933310,0,0
001004,11001001004,10.04,1669,1550,119,0,7,1669,1093,121,0,0,18,0,437,0,0,1669,0,77,124,85,19,112,110,147,244,751,1669,207,139,11,95,0,117,214,337,549,7.7,1669,228,145,184,474,336,302,1550,1178,372,2.62,1.92,1550,80,475,337,210,326,122,1550,298,658,524,70,1550,1048,42,415,0,0,0,0,18,27,1550,0,0,0,1550,1550,0,0,1178,0,0,16,0,0,11,143,1008,1224300,1178,798,380,798,0,0,13,0,25,42,718,4001,380,0,16,13,73,54,224,1141,798,520,103,37,9,129,0,380,236,73,27,13,31,0,0,0,372,0,0,213,47,0,76,36,1464,0,241,12,22,28,24,15,140,131,ACS_Housing_DC_CensusTract_7,,{8FFED950-D6B4-4959-942D-8AEC71B4C087},7,11,001,1400000US11001001004,Census Tract 10.04,G5020,S,1471925,0,+38.9487665,-077.0853886,0,0
000102,11001000102,1.02,2207,1830,377,0.7,11,2207,138,1131,205,193,48,113,379,0,0,2207,0,0,12,30,40,30,197,237,104,1557,2207,68,260,181,417,260,277,174,230,340,5.2,2207,169,464,625,507,284,158,1830,1212,618,1.75,1.52,1830,122,422,567,187,312,220,1830,517,946,323,44,1830,1298,36,458,9,0,0,0,29,0,1830,53,53,20,1830,1830,0,0,1212,0,0,0,29,108,65,264,746,1238100,1212,613,599,613,0,9,27,17,55,13,492,4001,599,0,0,0,55,123,421,1353,613,189,212,108,32,72,0,599,193,176,52,16,11,11,140,0,565,0,0,20,54,17,18,456,3501,53,565,105,90,85,0,80,205,53,ACS_Housing_DC_CensusTract_8,,{176B1436-DD63-49A5-921C-3E46237244A7},8,11,001,1400000US11001000102,Census Tract 1.02,G5020,S,1706484,516665,+38.9054220,-077.0620045,0,0
003701,11001003701,37.01,1381,1335,46,0,0,1381,0,87,15,73,47,387,772,0,0,1381,0,202,312,57,75,70,88,128,0,449,1381,164,138,425,359,193,56,46,0,0,3.4,1381,174,427,670,110,0,0,1335,439,896,1.72,1.61,1335,339,280,446,153,42,75,1335,487,752,82,14,1335,453,0,873,0,0,0,0,0,9,1335,0,0,0,1335,1273,14,48,439,0,0,0,0,66,64,198,111,699800,439,288,151,288,0,0,0,74,8,34,172,3280,151,0,23,19,37,0,72,,288,96,82,21,33,56,0,151,125,15,0,11,0,0,0,0,886,38,0,148,214,100,143,243,2215,10,886,140,73,126,43,106,398,10,ACS_Housing_DC_CensusTract_9,,{B33BAAB7-05E3-412D-B4BE-D89099551EEE},9,11,001,1400000US11001003701,Census Tract 37.01,G5020,S,172840,0,+38.9214487,-077.0342887,0,0
002504,11001002504,25.04,1496,1475,21,0,2.4,1496,49,362,88,40,83,202,672,0,0,1496,6,55,12,0,42,98,283,102,257,641,1496,164,301,362,170,106,145,201,17,30,3.3,1496,178,547,281,304,177,9,1475,920,555,2.09,2.16,1475,211,239,608,154,72,191,1475,342,861,230,42,1475,863,14,535,0,0,0,12,0,51,1475,0,0,0,1475,1316,69,90,920,22,0,0,0,7,306,388,197,714000,920,799,121,799,0,0,75,211,20,182,311,2757,121,0,0,8,113,0,0,646,799,360,57,32,0,350,0,121,121,0,0,0,0,0,0,0,555,43,54,144,185,77,30,22,1599,0,555,123,142,57,21,121,91,0,ACS_Housing_DC_CensusTract_10,,{43FF45AC-C336-4ED8-AFE7-5085A32E4D63},10,11,001,1400000US11001002504,Census Tract 25.04,G5020,S,311721,0,+38.9394498,-077.0329275,0,0
